,Customer,Date,Rating,Review Title,Review Body
58,Amazon Customer,2021-03-12,1.0,Review on Samsung A31,  Just an average phone. Full charge battery holds for a day necessitating charging everyday. Typing space on messenger is too short and consumes a lot of area.
59,Ashok Mohindra,2021-03-09,1.0,Good phone,  Good phone. Only issue with battery life. Charged 91 % at 6 am and 7.30 am it reached 70% only using google play store with software update. Camera is OK. Processer performance is OK. Overall phone performance is very good.
60,VM,2020-06-05,5.0,The phone is not working,"  Swipe to unlock is not working and remains as still. Above all phone is not working. Hence, need to exchange this phone immediately."
61,sajjad,2020-06-04,1.0,Waste of money,"  Phone is not working properly, getting hanged frequently"
62,S B Kulkarni,2020-09-04,5.0,I like Samsung,  Good phone
63,Amazon Customer,2021-03-10,5.0,Nice product,  Excellent product
64,Nirav D.,2020-10-14,5.0,Great phone but overpriced,  Excellent  phone loaded with features. Sleek and premium  phone at little overprice. Great camera wonderful display. Loving every bit. I wish I got it for 16k.
65,sagar,2020-11-16,4.0,Received with front camera damaged,  Received the phone with front camera damaged..not happy with the experience had with this purchase.
66,Rajiv Mahesh,2020-12-25,1.0,Not satisfied,  Did not get what was expected
67,parmar bipin,2020-08-23,5.0,Can buy undoubtedly,  Finger print reader is not working .I didn' t receive the pouch and screen guard along with phone whereas those are provided hir offline buying too .
68,Anjum,2021-03-17,4.0,good product,  good product
69,Chetana,2020-08-22,1.0,Worst experience,  Not getting charged after using a month
70,SUDHEERBABU,2020-08-29,4.0,nice phone,  good product
71,Shashi kant,2020-07-04,4.0,Nice,  Nice
72,VM,2020-06-05,5.0,Budget mobile go for it,  Awesome mobile with in display finger print and all specs are good according to the price just buy
73,sajjad,2020-06-04,1.0,Battery utter flop.. camera is not good,  I am writing this review after 4 days usage... waste battery and waste camera.. performance also not good.. I prefer not to buy any electrics from Amazon..
74,Amrita Sur,2020-07-22,1.0,Samsung galaxy A-31 defective,  Amazon have delivered defective item. Phone mic is not working.
75,Lijo,2020-09-18,1.0,Solid,  Pretty decent for the price you're paying.Great battery life and amazing screen quality.
76,PRASHANTH KUMAR M R,2020-06-10,5.0,good,  good
77,Anonomous,2021-03-04,5.0,Nice phone,  I'm using Samsung A31. It's really nice. I've new experience having this phone. Battery backup is good I can watch the movie whole day by charging once 100%.
78,Amazon Customer,2020-09-03,4.0,Samsung A31,"  All are ok but in case of receving of signal is too poor compared to other mobile phones like real me, Mi, Vivo."
79,MANOJ K.,2020-10-30,1.0,Excellent phone,  This is an excellent device I got. Best camera and top performances. Good battery backup. What else you want in the life?
80,Ravi Yadav,2020-10-14,1.0,excellent,  good product great service
81,Kiranmai,2020-08-22,4.0,finger print,  finger print not working properly..very poor
82,Amazon Customer,2020-11-07,5.0,☺,"  I really enjoy, its very nice experience through this phone all features and phone is great  condition thanks Samsung"
83,galaxy,2020-10-15,1.0,Love this product,  Very nice product.Totally liked it.Camera quality is awesome.Battery life is also very good..Just loved the product.Worth the money.
84,VM,2020-06-05,5.0,Worth of money,  5000Mah battery life will last whole day and camera performance is also good supportted assecories were also worthy.
85,sajjad,2020-06-04,1.0,No Cost EMI was not provided,  I have purchased this item with No Cost EMI through HDFC Credit Card and NO EMI option was not activated/given.
86,Vinod Paul M V,2020-08-19,4.0,Very good mobile in middle range with good features,"  Very good mobile looks, good camera, great speed and inbuilt display fingerprint 👍 I like it."
87,Vinayak bondre,2020-06-23,5.0,sensor are very poor,  Fingers sensor and Face reading sensor are very poor even every second time i have to open it by drawning patterns.
88,PAVAN,2021-03-20,4.0,Amazing device.,"  Amazing device.Happy to buy it.Screen quality,battery life, performance are upto the mark."
89,Dinesh Kumar s,2021-02-08,1.0,Samsung a31,  Nice Samsung 👌
90,RAHUL CHAUDHARY,2020-07-18,1.0,Software,  Phone is not working properlySoftware to be updated from service centreAdvise to return the phone
91,ronak,2020-08-14,5.0,Ok ok,  I think m31 is better than a31
92,Biswajit Bhowmik,2021-04-19,5.0,Need urgent help,"  18th July 2020, phone has gone blank. Not starting at all. Dead within less than a month of delivery and purchase."
93,ajay Tomer,2020-07-05,5.0,nice awesome phone 📱 from my favorite manufacturer,"  Good look, stable configuration and light wieght"
94,Poreddy,2020-07-18,5.0,Finger scanning,  Finger scanning not working properlyInternet  speed not shows require to install another app
95,Mahendra Paranjpe,2020-10-13,5.0,Not great,  Phone voice volume is so less
96,VM,2020-06-05,5.0,Too slow,  Honestly it's the worst smartphone I've ever use
97,sajjad,2020-06-04,1.0,original review,  Call goes on hold by touching ear. very irritating and persisting problem. Idiotic size like a long baton  ... dont buy
98,pk,2020-07-30,5.0,marvelous,  Looks like a premium .....
99,amarnathreddy markala,2020-07-31,2.0,phone is legging too much,  Fingerprints are not working properly battery is also giving very average performance .
100,Praveen B,2020-09-04,5.0,Review,  Camera is not up to the level .The battery is very good and performance is also good
101,Bibhuprasad Das,2020-07-10,5.0,No,  Like
102,Nisarg ,2020-08-14,5.0,Battery,  Excellent battery life. I'm charging phone once in two days for only half an hour.
103,KP Singh,2021-02-16,3.0,Worst rear camera,  Picture quality of rear camera is very much poor. Not even 5mp.
104,binder,2020-08-16,5.0,Good and Descent phone,  A Descent Phone by Samsumg.. Really a good battery backup and even handy to use
105,Vipin rawat,2020-07-25,2.0,Ok,  Ok
106,syed rafi,2020-09-06,5.0,the product is over all very good,  the battery life is very good and no warmthit's I now over all is very good
107,Amazon Customer,2020-07-19,5.0,nice,  Good phone
108,VM,2020-06-05,5.0,Best phone,"  Super phone battery, fast,charging ,all are good"
109,sajjad,2020-06-04,1.0,Screen,  Screen performance was good.Display damaged in 3months only....
110,RAMESH K.,2021-03-25,3.0,Thames up for Samsung M21,  Battery of M21 is good. Pictures quality is good.
111,Deepak,2020-06-18,3.0,Nice one,  Good product by Samsung
112,Amazon Customer,2020-07-18,1.0,worst,  Worst
113,ranjeet jha,2020-07-01,5.0,Value for the money.,  Fully satisfied.  A good product which is made in india.
114,Amazon Customer,2020-08-18,1.0,Good,  I like everything
115,MANOHAR MIRYALA,2020-08-10,2.0,Awesome phone,  Super performance
116,Shaon Bera,2020-10-06,1.0,It's fantastic,  It's very good in look wise and in performance
117,sanjeev kumar,2020-07-20,2.0,best battery life,  I like the battery and the camera quality of the phone
118,indeevar joshi,2020-08-14,4.0,Excellent,  Battery life is good i charge the phone alternate days
119,aman j.,2020-11-02,1.0,"Good one , at this price!!",  Smooth to use. good picture quality and vivid colors!!
120,VM,2020-06-05,5.0,Bestest,  Perfect one
121,sajjad,2020-06-04,1.0,Amazon marketplace for late response 😡😡😡,  Your browser does not support HTML5 video.   Not value
122,Anil kumar,2020-08-08,4.0,Good mobile,  This mobile phone is okay and value for money
123,Arvind kumar shukla,2021-04-30,5.0,sim issue,"  Sim 2 is not working properly,  give solution"
124,Shiva Jyothi,2020-08-14,4.0,worthful product,  Nice phone with good battery back up
125,Atreya Chakraborty,2020-07-06,1.0,Secure folder with excellent battery life.,  Personnel use.
126,Abhishek,2020-07-18,4.0,Best smartphone,  Good camera
127,Amazon Customer,2020-08-19,5.0,Samsung is best,  Good to buy
128,ganga Singh,2020-08-03,5.0,Fast charger not working,  Fast charger is very not at all working  nicely
129,Rahul,2020-06-28,5.0,Superb,  Super quality mobile and super long cover battery
130,adiveppa,2020-08-14,5.0,AWESOME,  AWESOME QUALITY NICE PHONETHANKS TO SAMSUNG
131,Vamsi,2020-09-03,2.0,free for use,  Good product
132,VM,2020-06-05,5.0,Love this phone...awsome battery awesome camera,  Best product in this price catagory
133,sajjad,2020-06-04,1.0,samsunga,  Very good and value for money phone
134,Amazon Customer,2020-08-01,4.0,Good,  Good
135,Sumit,2020-07-28,5.0,Good,  Good
136,neha,2020-07-21,1.0,Biometric is not working properly,  Battery life is average.
137,Amazon Customer,2020-08-16,5.0,Average,  Average phone as its Price
138,nikhil mankar,2020-09-07,5.0,Value for money,  Very good mobile
139,sharma jaymeen,2020-10-17,5.0,Elegent purchase,  Awesome  value for money
140,P S JANGIR,2020-08-25,5.0,one of the best phone  ever I use,  All the feature of the phone are value to money
141,Ashwani Kumar,2020-09-04,4.0,samsung a31,  Camera both awesomeFingerprint 👌
142,Nishu Bharaj,2020-08-01,5.0,Good,"  Battery backup is good, value for money"
143,Dr. Swati Pawar,2020-09-03,5.0,Excellent,  Everything is excellent
